post_id,thread_id,username,timestamp,category,label,title,content,replies,upvotes
1,1059,hexprime,2024-09-14 10:10:31,drugs,malicious,"New product line, samples ready",Anyone have experience with this vendor's turnaround time? First order feels slow.,39,40
2,1018,ghost88447,2024-09-14 12:32:30,extremism,malicious,Recruitment thread - new members,"Sharing material for the cause, redistribute within trusted circles only.",33,20
3,1168,drift_,2024-09-16 23:05:13,fraud_carding,malicious,"New phishing kit, private sale","Custom kit for sale, private deal only, proof available on request to serious buyers.",20,26
4,1176,static99,2024-09-17 10:58:19,fraud_carding,malicious,"Fresh dumps available, high balance","Bulk verified account logs for sale, discount for buyers taking 10+.",45,-5
5,1122,raven_,2024-09-18 03:54:23,extremism,malicious,Propaganda material share,"Discussion thread on the recent manifesto circulating, thoughts welcome from members.",26,-2
6,1097,ghostcore,2024-09-18 04:01:02,extremism,malicious,Recruitment thread - new members,"Starting a funding drive, crypto wallet shared in the pinned members-only post. Only dealing with verified members.",26,12
7,1221,cipher13,2024-09-19 12:22:04,benign_general,benign,Off-topic: what are you reading lately,"Weekly thread to check in, how's everyone's week been on here?",39,60
8,1225,nomadcore,2024-09-21 14:01:52,extremism,malicious,Funding drive announcement,"Coordinating a private meetup, details shared only with verified members.",30,53
9,1006,nomad9x,2024-09-22 03:02:09,weapons,malicious,Shipping question - customs risk,"Open to trading, have surplus accessories, looking for specific ammo type.",43,9
10,1157,riven77,2024-09-22 06:05:24,marketplace_general,malicious,Vendor bond question,"Having a dispute over an order, mediator requested, ticket number in my profile.",41,15
11,1120,kryox,2024-09-23 01:06:22,extremism,malicious,Funding drive announcement,"Looking to expand our private channel, message if you share the cause and want in.",45,12
12,1042,specterv2,2024-09-25 11:11:41,drugs,malicious,"Reliable vendor, EU/US shipping","Restocked over the weekend, usual quality, DM for the menu and pricing list.",11,28
13,1118,obscuracore75,2024-09-26 04:07:37,extremism,malicious,Propaganda material share,"Coordinating a private meetup, details shared only with verified members.",37,3
14,1212,nomadzero,2024-09-27 17:57:03,drugs,malicious,"Escrow release delayed, advice?","Looking for a mid-size supplier for my region, must have prior positive feedback.",13,37
15,1024,specter88,2024-09-28 09:06:58,weapons,malicious,Shipping question - customs risk,"Have a small batch of parts available this month, discreet packaging as always. No middlemen, direct contact only.",36,43
16,1017,raven99,2024-10-01 14:09:04,drugs,malicious,Stealth packaging question,"Shipping worldwide, stealth methods discussed in private, vouches available on request. No middlemen, direct contact only.",42,19
17,1030,rivendark,2024-10-03 07:10:14,weapons,malicious,"Parts available, discreet shipping","Open to trading, have surplus accessories, looking for specific ammo type. No middlemen, direct contact only.",5,24
18,1129,onyxroot,2024-10-06 02:36:14,weapons,malicious,"Parts available, discreet shipping","Looking for a new supplier after my last contact went dark, vouches required.",24,49
19,1138,obscura88,2024-10-07 06:46:09,extremism,malicious,Recruitment thread - new members,"Coordinating a private meetup, details shared only with verified members.",27,16
20,1192,phantom_895,2024-10-07 11:59:57,drugs,malicious,Fresh batch available - restock,Anyone have experience with this vendor's turnaround time? First order feels slow.,12,8
21,1212,byte88,2024-10-07 18:36:24,weapons,malicious,"Looking for supplier, serious buyers only","Open to trading, have surplus accessories, looking for specific ammo type. Prices negotiable for bulk.",17,47
22,1105,driftzero,2024-10-11 18:21:59,extremism,malicious,Propaganda material share,"Starting a funding drive, crypto wallet shared in the pinned members-only post.",23,5
23,1204,nomadprime753,2024-10-13 16:43:02,weapons,malicious,Shipping question - customs risk,"Have a small batch of parts available this month, discreet packaging as always.",35,44
24,1164,riven99,2024-10-14 04:22:47,hacking_malware,malicious,"RDP access, various countries","Builder tool for sale, private support included, no source code shared publicly.",43,36
25,1194,rivendark542,2024-10-14 18:50:37,marketplace_general,malicious,Vendor bond question,"Left feedback for my last order, decent turnaround, packaging was solid.",4,33
26,1025,spectercore,2024-10-15 02:35:53,hacking_malware,malicious,Zero-day rumor thread,"Renting out infrastructure by the hour or day, contact for current availability.",22,49
27,1072,shadowx,2024-10-18 12:29:00,extremism,malicious,Funding drive announcement,"Coordinating a private meetup, details shared only with verified members.",41,28
28,1028,phantomdark,2024-10-18 13:29:17,hacking_malware,malicious,Custom malware builder for sale,"Hiring a coder for a private project, paid in crypto, message with portfolio. Only dealing with verified members.",3,32
29,1157,bytedark,2024-10-22 07:37:10,weapons,malicious,Shipping question - customs risk,"Looking for a new supplier after my last contact went dark, vouches required. No middlemen, direct contact only.",32,23
30,1042,riven77,2024-10-22 11:51:57,benign_general,benign,"How to spot a scammer, general tips","Curious what people are using these days for their VPN, looking for recommendations.",21,26
31,1031,fenrircore,2024-10-23 07:07:38,fraud_carding,malicious,"New phishing kit, private sale","Bulk verified account logs for sale, discount for buyers taking 10+.",13,29
32,1162,bytezero,2024-10-24 23:57:35,drugs,malicious,Stealth packaging question,"Payment through escrow only, will not deal outside the platform's system.",0,27
33,1138,obscura_,2024-10-25 13:03:29,hacking_malware,malicious,Custom malware builder for sale,"Have access to a number of compromised boxes, selling per-host, DM with your use case. Will update thread as stock changes.",23,-5
34,1006,hex99,2024-10-28 04:49:03,weapons,malicious,"Parts available, discreet shipping","Have a small batch of parts available this month, discreet packaging as always.",15,5
35,1184,null88168,2024-10-29 20:10:24,hacking_malware,malicious,"Looking for a coder, paid work","Renting out infrastructure by the hour or day, contact for current availability.",13,27
36,1059,rivenroot,2024-10-31 23:49:27,hacking_malware,malicious,Custom malware builder for sale,"Hiring a coder for a private project, paid in crypto, message with portfolio. First come first served.",7,58
37,1102,obscura_,2024-11-01 08:23:57,fraud_carding,malicious,"Chargeback question, need advice","Need a reliable cashout method for a specific region, willing to split profit. Prices negotiable for bulk.",10,50
38,1023,phantom88220,2024-11-02 02:19:36,hacking_malware,malicious,"Looking for a coder, paid work","Renting out infrastructure by the hour or day, contact for current availability. First come first served.",26,47
39,1061,shadowv2808,2024-11-04 16:24:56,weapons,malicious,"Parts available, discreet shipping","Worried about customs on this route, anyone shipped through here recently?",22,25
40,1174,riven13,2024-11-05 16:20:19,benign_general,benign,Market etiquette for new users,"Off-topic but what has everyone been reading or watching lately, need suggestions. Prices negotiable for bulk.",14,43
41,1165,ghostx,2024-11-09 02:27:23,drugs,malicious,"New product line, samples ready","Discount for bulk repeat buyers, ask for the loyalty menu. No middlemen, direct contact only.",3,17
42,1100,onyx,2024-11-11 23:13:58,benign_general,benign,Site rules reminder,"Pinned thread on general operational security basics, please read before posting.",19,15
43,1071,hex9x,2024-11-13 11:04:09,marketplace_general,malicious,"Escrow dispute, need mediator","Left feedback for my last order, decent turnaround, packaging was solid.",16,20
44,1013,ghostzero,2024-11-14 10:24:00,extremism,malicious,Propaganda material share,"Starting a funding drive, crypto wallet shared in the pinned members-only post.",11,3
45,1013,riven77635,2024-11-15 21:17:44,marketplace_general,malicious,"Escrow dispute, need mediator","How much is the vendor bond on this market currently, and how long does it last? Will update thread as stock changes.",26,35
46,1100,raven8876,2024-11-15 22:18:48,marketplace_general,malicious,Vendor bond question,"New here, been vending elsewhere for a year, moving over with existing vouches.",17,14
47,1020,kryonight,2024-11-18 01:43:03,weapons,malicious,"Looking for supplier, serious buyers only","Open to trading, have surplus accessories, looking for specific ammo type.",18,60
48,1178,shadow_,2024-11-19 15:52:53,benign_general,benign,PGP setup help,"New here, what's considered normal etiquette before messaging a vendor directly?",17,46
49,1116,ravenprime,2024-11-21 14:15:58,hacking_malware,malicious,Selling access to compromised servers,"Selling RDP access across multiple regions, uptime guaranteed for the listed period.",6,8
50,1102,null77,2024-11-21 19:37:49,fraud_carding,malicious,Looking for cashout method,"Need a reliable cashout method for a specific region, willing to split profit.",22,6
51,1179,cipher,2024-11-22 05:49:39,weapons,malicious,Shipping question - customs risk,"Open to trading, have surplus accessories, looking for specific ammo type. Only dealing with verified members.",35,31
52,1158,nomad77846,2024-11-22 19:25:47,weapons,malicious,"Parts available, discreet shipping","Have a small batch of parts available this month, discreet packaging as always.",38,33
53,1163,nomadzero414,2024-11-23 15:00:12,fraud_carding,malicious,"New phishing kit, private sale","Selling fresh cards, high balance guaranteed, replacements offered within 24h.",22,23
54,1128,fenrircore132,2024-11-23 15:37:12,hacking_malware,malicious,Selling access to compromised servers,"Have access to a number of compromised boxes, selling per-host, DM with your use case.",21,10
55,1124,phantom88287,2024-11-24 11:09:23,extremism,malicious,Manifesto discussion,"Sharing material for the cause, redistribute within trusted circles only.",2,24
56,1128,nomad99,2024-11-25 18:49:16,fraud_carding,malicious,"Fresh dumps available, high balance","Need a reliable cashout method for a specific region, willing to split profit.",29,8
57,1038,phantomnight,2024-11-27 16:16:51,fraud_carding,malicious,"New phishing kit, private sale","Bulk verified account logs for sale, discount for buyers taking 10+.",40,0
58,1158,fenrirx,2024-11-27 21:22:18,extremism,malicious,Funding drive announcement,"Sharing material for the cause, redistribute within trusted circles only.",42,23
59,1034,cipherprime,2024-11-28 16:07:37,drugs,malicious,"Escrow release delayed, advice?","Restocked over the weekend, usual quality, DM for the menu and pricing list. Prices negotiable for bulk.",40,7
60,1113,ghost77,2024-11-29 13:13:18,fraud_carding,malicious,"New phishing kit, private sale","Need a reliable cashout method for a specific region, willing to split profit.",40,53
61,1201,glitch88,2024-11-29 13:45:42,drugs,malicious,Looking for trusted supplier in region,"Discount for bulk repeat buyers, ask for the loyalty menu.",20,57
62,1190,nomad77191,2024-12-01 15:31:48,extremism,malicious,Propaganda material share,"Discussion thread on the recent manifesto circulating, thoughts welcome from members.",18,29
63,1145,onyx13,2024-12-01 16:15:00,fraud_carding,malicious,Looking for cashout method,"Bulk verified account logs for sale, discount for buyers taking 10+.",0,60
64,1049,phantom99,2024-12-02 01:25:46,drugs,malicious,"Escrow release delayed, advice?",Anyone have experience with this vendor's turnaround time? First order feels slow. Prices negotiable for bulk.,9,27
65,1165,drift9x,2024-12-02 22:21:01,fraud_carding,malicious,"Chargeback question, need advice","Had a chargeback hit my account, anyone know how sellers usually handle it?",13,50
66,1142,null,2024-12-04 06:11:23,fraud_carding,malicious,CVV service - daily updates,"Custom kit for sale, private deal only, proof available on request to serious buyers.",36,7
67,1126,specterx160,2024-12-04 06:37:02,hacking_malware,malicious,Custom malware builder for sale,"Have access to a number of compromised boxes, selling per-host, DM with your use case.",10,52
68,1176,byteprime371,2024-12-04 23:52:09,drugs,malicious,"Escrow release delayed, advice?","Restocked over the weekend, usual quality, DM for the menu and pricing list.",9,49
69,1025,kryodark,2024-12-06 04:07:15,fraud_carding,malicious,"New phishing kit, private sale","Custom kit for sale, private deal only, proof available on request to serious buyers.",37,-2
70,1152,ghostnight,2024-12-06 04:23:41,marketplace_general,malicious,Feedback for recent purchase,"Market's been down for hours, anyone else seeing the same outage?",41,-3
71,1045,obscura99868,2024-12-06 06:21:03,hacking_malware,malicious,Selling access to compromised servers,"Renting out infrastructure by the hour or day, contact for current availability.",22,42
72,1134,phantomcore,2024-12-08 08:43:25,fraud_carding,malicious,"Selling verified accounts, bulk discount","Selling fresh cards, high balance guaranteed, replacements offered within 24h. Will update thread as stock changes.",33,41
73,1105,onyxv2,2024-12-10 16:02:13,benign_general,benign,PGP setup help,"Reminder from the mods: no doxxing, no personal info, follow the posted rules.",36,20
74,1167,static99,2024-12-11 05:43:59,marketplace_general,malicious,Market downtime - status update,"Having a dispute over an order, mediator requested, ticket number in my profile. First come first served.",11,1
75,1113,fenrir9x,2024-12-13 09:14:53,drugs,malicious,Stealth packaging question,"Looking for a mid-size supplier for my region, must have prior positive feedback.",15,21
76,1083,hex88,2024-12-13 09:48:08,drugs,malicious,Stealth packaging question,"Looking for a mid-size supplier for my region, must have prior positive feedback. Will update thread as stock changes.",40,32
77,1163,kryo88527,2024-12-14 21:55:49,fraud_carding,malicious,"Selling verified accounts, bulk discount","Need a reliable cashout method for a specific region, willing to split profit. Only dealing with verified members.",24,0
78,1078,staticdark,2024-12-16 20:54:43,marketplace_general,malicious,"Escrow dispute, need mediator","How much is the vendor bond on this market currently, and how long does it last?",36,43
79,1063,bytedark,2024-12-18 21:23:47,marketplace_general,malicious,"Escrow dispute, need mediator","Left feedback for my last order, decent turnaround, packaging was solid.",23,50
80,1043,phantomx,2024-12-20 05:23:45,weapons,malicious,Shipping question - customs risk,"Have a small batch of parts available this month, discreet packaging as always.",17,36
81,1055,byte9x,2024-12-21 11:15:45,marketplace_general,malicious,New vendor introduction,"Left feedback for my last order, decent turnaround, packaging was solid.",42,6
82,1210,wraith,2024-12-22 23:02:32,benign_general,benign,Site rules reminder,"Off-topic but what has everyone been reading or watching lately, need suggestions.",39,58
83,1217,fenrir77,2024-12-23 05:46:09,fraud_carding,malicious,"Fresh dumps available, high balance","Bulk verified account logs for sale, discount for buyers taking 10+.",1,55
84,1073,wraithprime,2024-12-23 18:40:18,extremism,malicious,Manifesto discussion,"Coordinating a private meetup, details shared only with verified members.",23,60
85,1009,obscura99553,2024-12-24 23:29:08,drugs,malicious,Looking for trusted supplier in region,"Restocked over the weekend, usual quality, DM for the menu and pricing list.",36,55
86,1021,nullroot,2024-12-25 18:38:06,marketplace_general,malicious,Market downtime - status update,"How much is the vendor bond on this market currently, and how long does it last? First come first served.",29,35
87,1161,specterzero,2024-12-26 18:48:40,weapons,malicious,"Parts available, discreet shipping","Open to trading, have surplus accessories, looking for specific ammo type. No middlemen, direct contact only.",31,-5
88,1198,phantomcore,2024-12-26 23:11:14,drugs,malicious,"Escrow release delayed, advice?","Payment through escrow only, will not deal outside the platform's system. No middlemen, direct contact only.",30,20
89,1067,obscura99126,2024-12-27 15:10:30,hacking_malware,malicious,Zero-day rumor thread,"Selling RDP access across multiple regions, uptime guaranteed for the listed period. Will update thread as stock changes.",4,52
90,1223,obscuranight448,2024-12-27 16:03:27,benign_general,benign,Market etiquette for new users,"New here, what's considered normal etiquette before messaging a vendor directly? Only dealing with verified members.",5,12
